player,position,team,age,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won
Pierre Kunde,MF,Cameroon,27,70,0,0,5,2,38,49,0,2
Przemysław Frankowski,MF,Poland,27,97,2,0,1,0,49,74,0,4
Raphaël Varane,DF,France,29,322,1,0,3,0,256,286,0,0
Raphinha,FW,Brazil,26,189,4,0,8,6,111,150,1,6
Rasmus Nissen,DF,Denmark,25,204,1,0,0,0,137,179,0,7
Raúl Jiménez,FW,Mexico,31,37,0,0,0,0,20,32,0,0
Renato Steffen,FW,Switzerland,31,19,0,0,0,0,13,15,0,0
Ricardo Rodríguez,DF,Switzerland,30,247,0,0,0,0,164,229,0,2
Richie Laryea,DF,Canada,27,73,2,0,2,0,35,47,0,1
Riley McGree,FW,Australia,24,107,0,0,3,1,57,75,1,1
Riyadh Sharahili,MF,Saudi Arabia,29,28,1,0,0,0,14,17,0,0
Roan Wilson,MF,Costa Rica,20,8,0,0,0,0,4,4,0,0
Robert Skov,DF,Denmark,26,24,0,0,0,0,17,21,0,0
Roberto Alvarado,FW,Mexico,24,12,0,0,0,0,5,10,0,0
Rodri,DF,Spain,26,710,0,0,1,0,642,689,0,2
Rodrigo Bentancur,MF,Uruguay,25,197,3,0,3,1,136,160,0,8
Rodrigo De Paul,MF,Argentina,28,625,1,0,7,3,470,562,0,6
Rodrygo,MF,Brazil,21,152,2,0,6,2,91,113,1,1
Rogelio Funes Mori,FW,Mexico,31,2,0,0,1,0,0,0,0,0
Romario Ibarra,MF,Ecuador,28,23,1,0,2,1,10,14,0,0
Romelu Lukaku,FW,Belgium,29,16,1,0,5,2,6,9,0,0
Ruben Vargas,FW,Switzerland,24,140,1,0,3,1,80,117,1,0
Rubin Colwill,MF,Wales,20,6,0,0,1,0,2,4,0,0
Ró-Ró,DF,Qatar,32,134,2,0,2,0,78,108,0,4
Rónald Matarrita,DF,Costa Rica,28,30,1,0,0,0,18,29,0,0
Rúben Dias,DF,Portugal,25,293,0,0,1,0,248,274,0,4
Rúben Neves,MF,Portugal,25,275,0,0,2,0,235,257,0,1
Saad Al Sheeb,GK,Qatar,32,22,0,0,0,0,18,20,0,0
Sadegh Moharrami,DF,IR Iran,26,32,1,0,0,0,18,26,0,1
Saeid Ezatolahi,MF,IR Iran,26,115,0,0,3,1,66,88,0,1
Salis Abdul Samed,MF,Ghana,22,169,3,0,1,0,129,145,0,2
