player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
R. Freuler,MF,Switzerland,30,324,197,0,1,3,1,127,154,0,5,80,20500000
N. Vlaic,FW,Croatia,25,206,80,3,0,5,1,45,55,0,1,80,33500000
A. Ramsey,MF,Wales,31,270,147,2,0,1,0,88,112,0,0,80,20000000
G. Krychowiak,MF,Poland,32,333,165,1,0,1,0,93,127,0,4,80,0
L. Klostermann,DF,Germany,26,62,56,0,0,0,0,51,52,0,1,80,26500000
M. Gómez,FW,Uruguay,26,27,9,0,0,2,1,5,7,0,0,80,32000000
D. Zakaria,MF,Switzerland,26,62,32,0,0,1,0,20,23,0,0,80,30500000
A. Christensen,DF,Denmark,26,270,280,0,1,2,1,237,251,0,2,80,28000000
M. Akanji,DF,Switzerland,27,360,287,0,1,4,1,229,259,0,2,80,25000000
S. Bergwijn,FW,Netherlands,25,216,85,1,0,2,0,64,72,0,1,80,30000000
D. Godín,DF,Uruguay,36,153,116,0,0,1,0,87,103,0,0,80,5500000
E. Dier,DF,England,28,36,44,0,0,0,0,40,41,0,1,79,17500000
G. Kobel,GK,Switzerland,25,90,29,0,0,0,0,21,29,0,0,79,21500000
P. Estupiñán,DF,Ecuador,24,270,217,2,0,1,1,148,190,0,3,79,26000000
B. Pavard,DF,France,26,90,94,0,0,0,0,82,90,0,0,79,21500000
G. Xhaka,MF,Switzerland,30,360,273,1,0,6,3,215,243,0,4,79,15500000
X. Shaqiri,FW,Switzerland,31,225,111,0,1,4,2,67,104,1,0,79,17000000
A. Tchouaméni,MF,France,22,621,533,3,1,6,2,426,474,0,4,79,28000000
J. Hofmann,FW,Germany,30,27,24,0,0,1,1,16,20,0,0,79,17500000
K. Dolberg,FW,Denmark,25,117,34,1,0,3,1,15,18,0,1,79,25500000
T. Castagne,DF,Belgium,27,270,229,0,0,0,0,176,202,0,4,79,21500000
Rodrygo,MF,Brazil,21,180,152,2,0,6,2,91,113,1,1,79,38500000
T. Koopmeiners,MF,Netherlands,24,216,149,1,0,2,1,90,119,1,5,79,24500000
J. Bellingham,MF,England,19,413,324,6,1,5,3,235,265,1,15,79,37000000
